group,variable,value
15-Feb-19,AGRO,1.13
15-Feb-19,CONSUMP,0.84
15-Feb-19,FINCIAL,0.81
15-Feb-19,INDUS,0.68
15-Feb-19,PROPCON,1.34
15-Feb-19,RESOURC,0.99
15-Feb-19,SERVICE,0.8
15-Feb-19,TECH,0.96
18-Feb-19,AGRO,0.24
18-Feb-19,CONSUMP,0.03
18-Feb-19,FINCIAL,0.19
18-Feb-19,INDUS,0.06
18-Feb-19,PROPCON,0.04
18-Feb-19,RESOURC,0.2
18-Feb-19,SERVICE,0.2
18-Feb-19,TECH,0.24
20-Feb-19,AGRO,0.04
20-Feb-19,CONSUMP,0.11
20-Feb-19,FINCIAL,0.22
20-Feb-19,INDUS,2.01
20-Feb-19,PROPCON,0.44
20-Feb-19,RESOURC,0.97
20-Feb-19,SERVICE,0.94
20-Feb-19,TECH,0.8
21-Feb-19,AGRO,0.79
21-Feb-19,CONSUMP,0.22
21-Feb-19,FINCIAL,0.52
21-Feb-19,INDUS,0.13
21-Feb-19,PROPCON,0.45
21-Feb-19,RESOURC,0.17
21-Feb-19,SERVICE,0.23
21-Feb-19,TECH,0.25
22-Feb-19,AGRO,0.35
22-Feb-19,CONSUMP,0.14
22-Feb-19,FINCIAL,0.32
22-Feb-19,INDUS,1.4
22-Feb-19,PROPCON,0.77
22-Feb-19,RESOURC,0.76
22-Feb-19,SERVICE,0.95
22-Feb-19,TECH,0.54
25-Feb-19,AGRO,0.66
25-Feb-19,CONSUMP,0.02
25-Feb-19,FINCIAL,0.64
25-Feb-19,INDUS,2.37
25-Feb-19,PROPCON,0.53
25-Feb-19,RESOURC,0.56
25-Feb-19,SERVICE,0.72
25-Feb-19,TECH,1.07
26-Feb-19,AGRO,0.49
26-Feb-19,CONSUMP,0.81
26-Feb-19,FINCIAL,0.18
26-Feb-19,INDUS,1.35
26-Feb-19,PROPCON,0.84
26-Feb-19,RESOURC,1.1
26-Feb-19,SERVICE,0.28
26-Feb-19,TECH,0.86
27-Feb-19,AGRO,1.08
27-Feb-19,CONSUMP,0.04
27-Feb-19,FINCIAL,0.18
27-Feb-19,INDUS,1.62
27-Feb-19,PROPCON,0.07
27-Feb-19,RESOURC,0.51
27-Feb-19,SERVICE,0.46
27-Feb-19,TECH,0.3
28-Feb-19,AGRO,0.3
28-Feb-19,CONSUMP,1.11
28-Feb-19,FINCIAL,0.46
28-Feb-19,INDUS,1.03
28-Feb-19,PROPCON,0.43
28-Feb-19,RESOURC,1.16
28-Feb-19,SERVICE,0.78
28-Feb-19,TECH,0.52
1-Mar-19,AGRO,0.73
1-Mar-19,CONSUMP,0.91
1-Mar-19,FINCIAL,0.84
1-Mar-19,INDUS,0.97
1-Mar-19,PROPCON,0.8
1-Mar-19,RESOURC,0.54
1-Mar-19,SERVICE,0.31
1-Mar-19,TECH,1.85
4-Mar-19,AGRO,0.27
